alloc,storage_bits,expert_damage_rms_pct,transferred_bits_B1,transferred_bits_B8,transferred_bits_B32,transferred_bits_B128
uniform3.5,3.5,15.4,3.5,3.5,3.4999999999999996,3.500000000000001
uniform3.0,3.0,26.77,3.0000000000000004,3.0,2.9999999999999996,3.0000000000000004
uniform3.75,3.75,7.7,3.75,3.7500000000000004,3.7499999999999996,3.7500000000000004
mixed3.5,3.500716145833333,5.171407617516038,3.9361777777777776,3.9220813789924542,3.889044477457604,3.8118926291640034
mixed3.25,3.250716145833333,11.05108233233222,3.756448737373737,3.7096153642940046,3.615587937906678,3.467514955030732
